(ACCESS_MODIFIERS, "public" ,1)
(KEYWORDS, "class" ,1)
(KEYWORDS, "Program" ,1)
(TERMINATORS, "{" ,2)
(KEYWORDS, "void" ,3)
(KEYWORDS, "main" ,3)
(TERMINATORS, "(" ,3)
(TERMINATORS, ")" ,3)
(TERMINATORS, "{" ,4)
(KEYWORDS, "var" ,6)
(IDENTIFIER, "a" ,6)
(TERMINATORS, ":" ,6)
(DT, "Number" ,6)
(TERMINATORS, "[" ,6)
(Number, "2" ,6)
(TERMINATORS, "]" ,6)
(TERMINATORS, "[" ,6)
(Number, "2" ,6)
(TERMINATORS, "]" ,6)
(TERMINATORS, "{" ,6)
(Number, "2" ,6)
(Invalid Lexene, "," ,6)
(Number, "3" ,6)
(TERMINATORS, "}" ,6)
(TERMINATORS, "{" ,6)
(Word, "amir" ,6)
(Invalid Lexene, "," ,6)
(Word, "chota" ,6)
(TERMINATORS, "}" ,6)
(TERMINATORS, ";" ,6)
(IDENTIFIER, "a" ,8)
(INC_DEC, "++" ,8)
(TERMINATORS, ";" ,8)
(KEYWORDS, "if" ,10)
(TERMINATORS, "(" ,10)
(IDENTIFIER, "num" ,10)
(ARITHMATIC_OPERATORS, "%" ,10)
(Number, "2" ,10)
(RELATIONAL_OPERATORS, "==" ,10)
(Number, "0" ,10)
(TERMINATORS, ")" ,10)
(TERMINATORS, "{" ,10)
(IDENTIFIER, "a" ,11)
(ASSIGN_OPERATORS, "=" ,11)
(Word, "ahsan" ,11)
(TERMINATORS, ";" ,11)
(TERMINATORS, "}" ,12)
(KEYWORDS, "if_not" ,13)
(TERMINATORS, "(" ,13)
(IDENTIFIER, "zain" ,13)
(TERMINATORS, ")" ,13)
(TERMINATORS, "{" ,13)
(IDENTIFIER, "hello" ,14)
(ASSIGN_OPERATORS, "=" ,14)
(KEYWORDS, "true" ,14)
(TERMINATORS, ";" ,14)
(TERMINATORS, "}" ,15)
(KEYWORDS, "do_this" ,16)
(TERMINATORS, "{" ,16)
(KEYWORDS, "var" ,17)
(IDENTIFIER, "a" ,17)
(TERMINATORS, ":" ,17)
(DT, "Number" ,17)
(ASSIGN_OPERATORS, "=" ,17)
(Word, "Ahsan" ,17)
(TERMINATORS, ";" ,17)
(TERMINATORS, "}" ,18)
(KEYWORDS, "looping_till" ,20)
(TERMINATORS, "(" ,20)
(IDENTIFIER, "i" ,20)
(RELATIONAL_OPERATORS, "<" ,20)
(Number, "10" ,20)
(TERMINATORS, ")" ,20)
(TERMINATORS, "{" ,20)
(KEYWORDS, "var" ,21)
(IDENTIFIER, "a" ,21)
(TERMINATORS, ":" ,21)
(DT, "Number" ,21)
(ASSIGN_OPERATORS, "=" ,21)
(IDENTIFIER, "a" ,21)
(ARITHMATIC_OPERATORS, "+" ,21)
(IDENTIFIER, "b" ,21)
(ARITHMATIC_OPERATORS, "*" ,21)
(Number, "2." ,21)
(TERMINATORS, ";" ,21)
(IDENTIFIER, "a" ,22)
(ASSIGN_OPERATORS, "=" ,22)
(Number, "2" ,22)
(ARITHMATIC_OPERATORS, "+" ,22)
(Number, "3" ,22)
(ARITHMATIC_OPERATORS, "*" ,22)
(IDENTIFIER, "b" ,22)
(TERMINATORS, "[" ,22)
(Number, "3" ,22)
(TERMINATORS, "]" ,22)
(ARITHMATIC_OPERATORS, "%" ,22)
(Number, "2" ,22)
(TERMINATORS, ";" ,22)
(TERMINATORS, "}" ,23)
(TERMINATORS, "}" ,24)
(TERMINATORS, "}" ,25)
(END MARKER, "#" ,26)
